"co_procedimento";"co_registro"
"0202040100";"01"
"0202040100";"02"
"0202040100";"05"
"0202040119";"01"
"0202040119";"02"
"0202040127";"01"
"0202040127";"02"
"0202040127";"05"
"0202040135";"01"
"0202040135";"02"
"0202040135";"05"
"0202040143";"01"
"0202040143";"02"
"0202040143";"05"
"0202040151";"01"
"0202040151";"02"
"0202040151";"05"
"0202040160";"01"
"0202040160";"02"
"0202040160";"05"
"0202040178";"01"
"0202040178";"02"
"0202040178";"05"
"0202050017";"01"
"0202050017";"02"
"0202050017";"05"
"0202050025";"01"
"0202050025";"02"
"0202050025";"05"
"0202050033";"01"
"0202050033";"02"
"0202050033";"05"
"0202050041";"01"
"0202050041";"02"
"0202050041";"05"
"0202050050";"01"
"0202050050";"02"
"0202050050";"05"
"0202050068";"01"
"0202050068";"02"
"0202050068";"05"
"0202050076";"02"
"0202050076";"05"
"0202050076";"07"
"0202050084";"01"
"0202050084";"02"
"0202050084";"05"
"0202050092";"01"
"0202050092";"02"
"0202050092";"05"
"0202050106";"01"
"0202050106";"02"
"0202050106";"05"
"0202050114";"01"
"0202050114";"02"
"0202050114";"05"
"0202050122";"01"
"0202050122";"02"
"0202050122";"05"
"0202050130";"01"
"0202050130";"02"
"0202050130";"05"
"0202050149";"01"
"0202050149";"02"
"0202050149";"05"
"0202050157";"01"
"0202050157";"02"
"0202050157";"05"
"0202050165";"01"
"0202050165";"02"
"0202050165";"05"
"0202050173";"01"
"0202050173";"02"
"0202050173";"05"
"0202050181";"01"
"0202050181";"02"
"0202050181";"05"
"0202050190";"01"
"0202050190";"02"
"0202050190";"05"
"0202050203";"01"
"0202050203";"02"
"0202050203";"05"
"0202050211";"01"
"0202050211";"02"
"0202050211";"05"
"0202050220";"01"
"0202050220";"02"
"0202050220";"05"
"0202050238";"01"
"0202050238";"02"
"0202050238";"05"
"0202050246";"01"
"0202050246";"02"
"0202050246";"05"
"0202050254";"01"
"0202050254";"02"
"0202050254";"05"
"0202050262";"01"
"0202050262";"02"
"0202050262";"05"
"0202050270";"01"
"0202050270";"02"
"0202050270";"05"
"0202050289";"01"
"0202050289";"02"
"0202050289";"05"
"0202050297";"01"
"0202050297";"02"
"0202050297";"05"
"0202050300";"01"
"0202050300";"02"
"0202050300";"05"
"0202050319";"01"
"0202050319";"02"
"0202050319";"05"
"0202050327";"01"
"0202050327";"02"
"0202050327";"05"
"0202060012";"01"
"0202060012";"02"
"0202060012";"05"
"0202060020";"01"
"0202060020";"02"
"0202060020";"05"
"0202060039";"01"
"0202060039";"02"
"0202060039";"05"
"0202060047";"01"
"0202060047";"02"
"0202060047";"05"
"0202060055";"01"
"0202060055";"02"
"0202060055";"05"
"0202060063";"01"
"0202060063";"02"
"0202060063";"05"
"0202060071";"01"
"0202060071";"02"
"0202060071";"05"
"0202060080";"01"
"0202060080";"02"
"0202060080";"05"
"0202060098";"01"
"0202060098";"02"
"0202060098";"05"
"0202060101";"01"
"0202060101";"02"
"0202060101";"05"
"0202060110";"01"
"0202060110";"02"
"0202060110";"05"
"0202060128";"01"
"0202060128";"02"
"0202060128";"05"
"0202060136";"01"
"0202060136";"02"
"0202060136";"05"
"0202060144";"01"
"0202060144";"02"
"0202060144";"05"
"0202060152";"01"
"0202060152";"02"
"0202060152";"05"
"0202060160";"01"
"0202060160";"02"
"0202060160";"05"
"0202060179";"01"
"0202060179";"02"
"0202060179";"05"
"0202060187";"01"
"0202060187";"02"
"0202060187";"05"
"0202060195";"01"
"0202060195";"02"
"0202060195";"05"
"0202060209";"01"
"0202060209";"02"
"0202060209";"05"
"0202060217";"01"
"0202060217";"02"
"0202060217";"05"
"0202060225";"01"
"0202060225";"02"
"0202060225";"05"
"0202060233";"01"
"0202060233";"02"
"0202060233";"05"
"0202060241";"01"
"0202060241";"02"
"0202060241";"05"
"0202060250";"01"
"0202060250";"02"
"0202060250";"05"
"0202060250";"07"
"0202060268";"01"
"0202060268";"02"
"0202060268";"05"
"0202060276";"01"
"0202060276";"02"
"0202060276";"07"
"0202060284";"01"
"0202060284";"02"
"0202060284";"05"
"0202060292";"01"
"0202060292";"02"
"0202060292";"05"
"0202060306";"01"
"0202060306";"02"
"0202060306";"05"
"0202060314";"01"
