"co_procedimento";"qt_maxima_execucao";"qt_dias_permanencia";"qt_pontos";"vl_idade_minima";"vl_idade_maxima";"vl_servico_hospitalar";"vl_servico_ambulatorial";"vl_servico_profissional";"qt_tempo_permanencia"
"0202010619";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000140";"0000000000";"9999"
"0202010627";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000185";"0000000000";"9999"
"0202010635";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000185";"0000000000";"9999"
"0202010643";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000201";"0000000000";"9999"
"0202010651";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000201";"0000000000";"9999"
"0202010660";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000412";"0000000000";"9999"
"0202010678";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000351";"0000000000";"9999"
"0202010686";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000351";"0000000000";"9999"
"0202010694";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000185";"0000000000";"9999"
"0202010708";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000001524";"0000000000";"9999"
"0202010716";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000368";"0000000000";"9999"
"0202010724";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000442";"0000000000";"9999"
"0202010732";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000001565";"0000000000";"9999"
"0202010740";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000368";"0000000000";"9999"
"0202010759";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000655";"0000000000";"9999"
"0202010767";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000001524";"0000000000";"9999"
"0202010775";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000153";"0000000000";"9999"
"0202010783";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000304";"0000000000";"9999"
"0202020010";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000648";"0000000000";"9999"
"0202020029";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000273";"0000000000";"9999"
"0202020037";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000273";"0000000000";"9999"
"0202020045";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000273";"0000000000";"9999"
"0202020053";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000273";"0000000000";"9999"
"0202020061";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000273";"0000000000";"9999"
"0202020070";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000273";"0000000000";"9999"
"0202020088";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000273";"0000000000";"9999"
"0202020096";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000273";"0000000000";"9999"
"0202020100";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000900";"0000000000";"9999"
"0202020118";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000579";"0000000000";"9999"
"0202020126";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000285";"0000000000";"9999"
"0202020134";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000577";"0000000000";"9999"
"0202020142";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000273";"0000000000";"9999"
"0202020150";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000273";"0000000000";"9999"
"0202020169";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000411";"0000000000";"9999"
"0202020177";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000648";"0000000000";"9999"
"0202020185";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000531";"0000000000";"9999"
"0202020193";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000761";"0000000000";"9999"
"0202020207";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000473";"0000000000";"9999"
"0202020215";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000809";"0000000000";"9999"
"0202020223";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000663";"0000000000";"9999"
"0202020231";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000001500";"0000000000";"9999"
"0202020240";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000001891";"0000000000";"9999"
"0202020258";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000666";"0000000000";"9999"
"0202020266";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000911";"0000000000";"9999"
"0202020274";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000001051";"0000000000";"9999"
"0202020282";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000666";"0000000000";"9999"
"0202020290";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000460";"0000000000";"9999"
"0202020304";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000153";"0000000000";"9999"
"0202020312";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000273";"0000000000";"9999"
"0202020320";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000273";"0000000000";"9999"
"0202020339";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000273";"0000000000";"9999"
"0202020347";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000411";"0000000000";"9999"
"0202020355";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000541";"0000000000";"9999"
"0202020363";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000273";"0000000000";"9999"
