"co_procedimento";"co_servico"
"0208020110";"151"
"0208020110";"151"
"0208020128";"151"
"0208020128";"151"
"0208030018";"151"
"0208030018";"151"
"0208030026";"151"
"0208030026";"151"
"0208030034";"151"
"0208030034";"151"
"0208030042";"151"
"0208030042";"151"
"0208030050";"151"
"0208030050";"151"
"0208040013";"151"
"0208040013";"151"
"0208040021";"151"
"0208040021";"151"
"0208040030";"151"
"0208040030";"151"
"0208040048";"151"
"0208040048";"151"
"0208040056";"151"
"0208040056";"151"
"0208040064";"151"
"0208040064";"151"
"0208040072";"151"
"0208040072";"151"
"0208040080";"151"
"0208040080";"151"
"0208040099";"151"
"0208040099";"151"
"0208040102";"151"
"0208040102";"151"
"0208050019";"151"
"0208050019";"151"
"0208050027";"151"
"0208050027";"151"
"0208050035";"151"
"0208050035";"151"
"0208050043";"151"
"0208050043";"151"
"0208060014";"151"
"0208060014";"151"
"0208060022";"151"
"0208060022";"151"
"0208060030";"151"
"0208060030";"151"
"0208070010";"151"
"0208070010";"151"
"0208070028";"151"
"0208070028";"151"
"0208070036";"151"
"0208070036";"151"
"0208070044";"151"
"0208070044";"151"
"0208080015";"151"
"0208080015";"151"
"0208080023";"151"
"0208080023";"151"
"0208080031";"151"
"0208080031";"151"
"0208080040";"151"
"0208080040";"151"
"0208090010";"151"
"0208090010";"151"
"0208090029";"151"
"0208090029";"151"
"0208090037";"151"
"0208090037";"151"
"0209010010";"142"
"0209010029";"142"
"0209010037";"142"
"0209010045";"142"
"0209010053";"142"
"0209010061";"142"
"0209020016";"142"
"0209030011";"142"
"0209040017";"142"
"0209040025";"142"
"0209040033";"142"
"0209040041";"142"
"0209040050";"142"
"0210010010";"121"
"0210010010";"121"
"0210010029";"121"
"0210010029";"121"
"0210010037";"121"
"0210010037";"121"
"0210010045";"121"
"0210010045";"121"
"0210010053";"121"
"0210010053";"121"
"0210010061";"121"
"0210010061";"121"
"0210010070";"121"
"0210010070";"121"
"0210010088";"121"
"0210010088";"121"
"0210010096";"121"
"0210010096";"121"
"0210010100";"121"
"0210010100";"121"
"0210010118";"121"
"0210010118";"121"
"0210010126";"121"
"0210010126";"121"
"0210010134";"121"
"0210010134";"121"
"0210010142";"121"
"0210010142";"121"
"0210010150";"121"
"0210010150";"121"
"0210010169";"121"
"0210010169";"121"
"0210010169";"121"
"0210010177";"121"
"0210010177";"121"
"0210010185";"121"
"0210010185";"121"
"0210010193";"121"
"0210010193";"121"
"0210010207";"121"
"0210010207";"121"
"0210020016";"121"
"0210020016";"121"
"0211010022";"121"
"0211020010";"116"
"0211020028";"116"
"0211020036";"113"
"0211020036";"113"
"0211020036";"113"
"0211020036";"113"
"0211020036";"122"
"0211020036";"122"
"0211020044";"122"
"0211020044";"122"
"0211020060";"122"
"0211020060";"122"
"0211030015";"126"
"0211030015";"135"
"0211030015";"135"
"0211030015";"135"
"0211030015";"135"
"0211030015";"135"
"0211030015";"135"
"0211030015";"135"
"0211030023";"126"
"0211030023";"135"
"0211030023";"135"
"0211030023";"135"
"0211030023";"135"
"0211030023";"135"
"0211030023";"135"
"0211030023";"135"
"0211030031";"126"
"0211030031";"135"
"0211030031";"135"
"0211030031";"135"
"0211030031";"135"
"0211030031";"135"
"0211030031";"135"
"0211030031";"135"
"0211030040";"126"
"0211030040";"135"
"0211030040";"135"
"0211030040";"135"
"0211030040";"135"
"0211030040";"135"
"0211030040";"135"
"0211030040";"135"
"0211030058";"126"
"0211030058";"135"
"0211030058";"135"
"0211030058";"135"
"0211030058";"135"
"0211030058";"135"
"0211030058";"135"
"0211030058";"135"
"0211030066";"126"
"0211030066";"135"
"0211030066";"135"
"0211030066";"135"
"0211030066";"135"
"0211030066";"135"
"0211030066";"135"
"0211030066";"135"
"0211030074";"126"
"0211030074";"135"
"0211030074";"135"
"0211030074";"135"
"0211030074";"135"
"0211030074";"135"
"0211030074";"135"
"0211030074";"135"
"0211030082";"126"
"0211030082";"135"
"0211030082";"135"
"0211030082";"135"
"0211030082";"135"
"0211030082";"135"
"0211030082";"135"
"0211030082";"135"
"0211030090";"126"
"0211030090";"135"
"0211030090";"135"
"0211030090";"135"
"0211030090";"135"
"0211030090";"135"
"0211030090";"135"
"0211030090";"135"
"0211040037";"145"
"0211050024";"122"
"0211050024";"122"
"0211050032";"122"
"0211050032";"122"
"0211050040";"122"
"0211050040";"122"
"0211050059";"122"
"0211050059";"122"
"0211050067";"122"
"0211050067";"122"
"0211050091";"105"
"0211050105";"105"
"0211050105";"133"
"0211050105";"133"
"0211050105";"133"
"0211050148";"105"
"0211050156";"122"
"0211050156";"122"
"0211060011";"131"
"0211060011";"135"
"0211060011";"135"
"0211060020";"131"
"0211060020";"135"
"0211060020";"135"
"0211060038";"131"
"0211060054";"131"
"0211060062";"131"
"0211060070";"131"
"0211060070";"135"
"0211060070";"135"
"0211060089";"131"
"0211060089";"135"
"0211060089";"135"
"0211060097";"131"
"0211060100";"131"
"0211060100";"135"
"0211060100";"135"
"0211060119";"131"
"0211060127";"131"
"0211060127";"131"
"0211060127";"131"
"0211060127";"135"
"0211060127";"135"
"0211060135";"131"
"0211060143";"131"
"0211060151";"113"
"0211060151";"113"
"0211060151";"113"
"0211060151";"113"
"0211060151";"131"
"0211060151";"135"
"0211060151";"135"
"0211060160";"131"
"0211060160";"135"
"0211060160";"135"
"0211060178";"131"
"0211060178";"131"
"0211060186";"131"
"0211060208";"131"
"0211060216";"131"
"0211060216";"135"
"0211060216";"135"
"0211060224";"131"
"0211060224";"135"
"0211060224";"135"
"0211060232";"131"
"0211060232";"135"
"0211060232";"135"
"0211060240";"131"
"0211060259";"131"
"0211060259";"135"
"0211060259";"135"
"0211060267";"131"
"0211060283";"131"
"0211070025";"135"
"0211070025";"135"
"0211070033";"135"
"0211070033";"135"
"0211070041";"135"
"0211070092";"135"
"0211070092";"135"
"0211070106";"135"
"0211070106";"135"
"0211070122";"135"
"0211070157";"135"
"0211070157";"135"
"0211070165";"135"
"0211070165";"135"
"0211070190";"135"
"0211070190";"135"
"0211070190";"135"
"0211070190";"135"
"0211070190";"135"
"0211070190";"135"
"0211070203";"135"
"0211070203";"135"
"0211070211";"135"
"0211070211";"135"
"0211070238";"135"
"0211070238";"135"
"0211070246";"135"
"0211070246";"135"
"0211070254";"135"
"0211070262";"135"
"0211070262";"135"
"0211070270";"107"
"0211070270";"135"
"0211070289";"135"
"0211070289";"135"
"0211070297";"135"
"0211070297";"135"
"0211070300";"135"
"0211070300";"135"
"0211070319";"135"
"0211070319";"135"
"0211070327";"135"
"0211070327";"135"
"0211070335";"135"
"0211070335";"135"
"0211070343";"135"
"0211070343";"135"
"0211070378";"107"
"0211070386";"107"
"0211070394";"107"
"0211070408";"107"
"0211070416";"107"
"0211080012";"133"
"0211080020";"133"
"0211080039";"133"
"0211080047";"133"
"0211080055";"133"
"0211080055";"133"
"0211080063";"133"
"0211080071";"133"
"0211080080";"122"
"0211080080";"122"
"0211100013";"115"
"0211100013";"135"
"0211100013";"135"
"0211100013";"135"
"0211100013";"135"
"0211100013";"135"
"0211100013";"135"
"0212010018";"128"
"0212010026";"128"
"0212010034";"128"
"0212010042";"128"
"0212010050";"128"
"0212010069";"128"
"0212020013";"128"
"0212020021";"128"
"0212020030";"128"
"0212020048";"128"
"0212020056";"128"
"0212020064";"128"
"0213010011";"141"
"0213010020";"141"
"0213010038";"141"
"0213010054";"141"
"0213010062";"141"
"0213010070";"141"
"0213010089";"141"
"0213010097";"141"
"0213010100";"141"
"0213010119";"141"
"0213010127";"141"
"0213010135";"141"
"0213010143";"141"
"0213010160";"141"
"0213010178";"141"
"0213010186";"141"
"0213010194";"141"
"0213010208";"141"
"0213010216";"141"
"0213010224";"141"
"0213010232";"141"
"0213010240";"141"
"0213010259";"141"
"0213010267";"141"
"0213010275";"141"
"0213010291";"141"
"0213010305";"141"
"0213010321";"141"
"0213010330";"141"
"0213010348";"141"
"0213010356";"141"
"0213010364";"141"
"0213010372";"141"
"0213010380";"141"
"0213010399";"141"
"0213010402";"141"
"0213010410";"141"
"0213010429";"141"
"0213010437";"141"
"0213010445";"141"
"0213010453";"141"
"0213010470";"141"
"0213010488";"141"
"0213010496";"141"
"0213010500";"141"
"0213010518";"141"
"0213010526";"141"
"0213010534";"141"
"0213010542";"141"
"0213010550";"141"
"0213010569";"141"
"0213010577";"141"
"0213010585";"141"
"0213010607";"141"
"0213010615";"141"
"0213010623";"141"
"0213010631";"141"
"0213010640";"141"
