"co_procedimento";"co_cid"
"0201010330";"M868"
"0201010330";"M869"
"0201010330";"P369"
"0201010330";"R229"
"0201010356";"H000"
"0201010356";"H010"
"0201010356";"H011"
"0201010356";"H018"
"0201010356";"H019"
"0201010356";"H024"
"0201010356";"H025"
"0201010356";"H027"
"0201010356";"H028"
"0201010356";"H029"
"0201010364";"H611"
"0201010364";"H618"
"0201010364";"H619"
"0201010380";"B977"
"0201010380";"C600"
"0201010380";"C601"
"0201010380";"C602"
"0201010380";"C608"
"0201010380";"C609"
"0201010380";"N480"
"0201010380";"N482"
"0201010402";"A156"
"0201010402";"A162"
"0201010402";"B908"
"0201010402";"B950"
"0201010402";"B951"
"0201010402";"B952"
"0201010402";"B953"
"0201010402";"B954"
"0201010402";"B956"
"0201010402";"B957"
"0201010402";"B960"
"0201010402";"B961"
"0201010402";"B962"
"0201010402";"B963"
"0201010402";"B964"
"0201010402";"B965"
"0201010402";"B967"
"0201010402";"B968"
"0201010402";"C37 "
"0201010402";"C384"
"0201010402";"C388"
"0201010402";"C390"
"0201010402";"C398"
"0201010402";"C450"
"0201010402";"C468"
"0201010402";"C508"
"0201010402";"C758"
"0201010402";"C771"
"0201010402";"C782"
"0201010402";"C817"
"0201010402";"C827"
"0201010402";"D190"
"0201010402";"D382"
"0201010402";"I260"
"0201010402";"I269"
"0201010402";"I310"
"0201010402";"I311"
"0201010402";"I312"
"0201010402";"J178"
"0201010402";"J431"
"0201010402";"J432"
"0201010402";"J438"
"0201010402";"J441"
"0201010402";"J448"
"0201010402";"J850"
"0201010402";"J851"
"0201010402";"J852"
"0201010402";"J853"
"0201010402";"J860"
"0201010402";"J869"
"0201010402";"J90 "
"0201010402";"J91 "
"0201010402";"J930"
"0201010402";"J931"
"0201010402";"J938"
"0201010402";"J941"
"0201010402";"J949"
"0201010402";"P280"
"0201010402";"P281"
"0201010402";"P288"
"0201010402";"S211"
"0201010402";"S212"
"0201010402";"S217"
"0201010402";"S218"
"0201010402";"S250"
"0201010402";"S253"
"0201010402";"S254"
"0201010402";"S255"
"0201010402";"S257"
"0201010402";"S258"
"0201010402";"T011"
"0201010402";"T041"
"0201010437";"N000"
"0201010437";"N001"
"0201010437";"N002"
"0201010437";"N003"
"0201010437";"N004"
"0201010437";"N005"
"0201010437";"N006"
"0201010437";"N007"
"0201010437";"N008"
"0201010437";"N010"
"0201010437";"N011"
"0201010437";"N012"
"0201010437";"N013"
"0201010437";"N014"
"0201010437";"N015"
"0201010437";"N016"
"0201010437";"N017"
"0201010437";"N018"
"0201010437";"N020"
"0201010437";"N021"
"0201010437";"N022"
"0201010437";"N023"
"0201010437";"N024"
"0201010437";"N025"
"0201010437";"N026"
"0201010437";"N027"
"0201010437";"N028"
"0201010437";"N030"
"0201010437";"N031"
"0201010437";"N032"
"0201010437";"N033"
"0201010437";"N034"
"0201010437";"N035"
"0201010437";"N036"
"0201010437";"N037"
"0201010437";"N038"
"0201010437";"N040"
"0201010437";"N041"
"0201010437";"N042"
"0201010437";"N043"
"0201010437";"N044"
"0201010437";"N045"
"0201010437";"N046"
"0201010437";"N047"
"0201010437";"N048"
"0201010437";"N050"
"0201010437";"N051"
"0201010437";"N052"
"0201010437";"N053"
"0201010437";"N054"
"0201010437";"N055"
"0201010437";"N056"
"0201010437";"N057"
"0201010437";"N058"
"0201010437";"N060"
"0201010437";"N068"
"0201010437";"N070"
"0201010437";"N078"
"0201010437";"N080"
"0201010437";"N085"
"0201010437";"N10 "
"0201010437";"N12 "
"0201010437";"N140"
"0201010437";"N141"
"0201010437";"N142"
"0201010437";"N143"
"0201010437";"N151"
"0201010437";"N158"
"0201010437";"N160"
"0201010437";"N161"
"0201010437";"N162"
"0201010437";"N163"
"0201010437";"N164"
"0201010437";"N165"
"0201010437";"N170"
"0201010437";"N171"
"0201010437";"N172"
"0201010437";"N178"
"0201010437";"N180"
"0201010437";"N188"
"0201010437";"N19 "
"0201010488";"C66 "
"0201010488";"D302"
"0201010496";"C675"
"0201010496";"C680"
"0201010496";"C688"
"0201010496";"C689"
"0201010496";"N211"
"0201010500";"C52 "
"0201010500";"N765"
"0201010500";"N768"
"0201010500";"N804"
"0201010500";"N890"
"0201010500";"N891"
"0201010500";"N892"
"0201010500";"N894"
"0201010518";"C510"
"0201010518";"C511"
"0201010518";"C512"
"0201010518";"C518"
"0201010518";"D071"
"0201010518";"D280"
"0201010518";"D397"
"0201010518";"N766"
"0201010518";"N771"
"0201010518";"N900"
"0201010518";"N901"
"0201010518";"N902"
"0201010518";"N903"
